Title¬Price¬Link¬Description
2 PC JSP 18K GOLD JEWELRY TESTING ACID SOLUTION TEST SCRAP TESTER SOLUTIONS ORO¬$14.59¬https://www.ebay.com/itm/186014452610¬Item specificsConditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tabBrandJSPTypeTesterSeller WarrantyYesColorGoldFeatured Refinements18K Gold Testing KitMaterialAcrylicSet Includes18K TEST GOLD BOTTLESCountry/Region of ManufactureUnited StatesSuitable ForIdentification/TestingUPCDoes not apply
1000 Grams Scrap Gold Bar For casting or bullion, for making jewelry¬$99.99¬https://www.ebay.com/itm/235909807863¬Item specificsConditionNew without tagsA brand-new, unused, and unworn item (including handmade items) that is not in original packaging or may be missing original packaging materials (such as the original box or bag). The original tags may not be attached.See all condition definitionsopens in a new window or tabSeller Notes“Perfect For Jewelry”BrandUnbrandedTypeScarp GoldShapeBarCountry/Region of ManufactureIsrael
375 / 9K Gold Jewelry Scrap 8.6g¬$333.99¬https://www.ebay.com/itm/267184324598¬Item specificsConditionPre-ownedAn item that has been used or worn previously. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tabSeller Notes“Scrap For Parts Or Repair”BrandUnbrandedMain StoneNo StoneMetalYellow GoldMetal Purity9KStyleChainTypeBraceletUPCDoes Not Apply
14k yellow gold scrap repair bracelet jewelry 5.8 grams¬$399.99¬https://www.ebay.com/itm/356739492161¬Item specificsConditionPre-owned: An item that has been used or worn previously. See the seller’s listing for full details ...Read moreabout the conditionPre-owned: An item that has been used or worn previously. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tabClosureLobsterColorGoldMain Stone ColorGoldMaterial14k goldMetal14k goldTotal Carat Weight5.8 gramsMain StoneNo StoneBrandItalyTypebraceletMetal Purity14kStylebraceletBase MetalYellow GoldCountry/Region of ManufactureItalyCountry of OriginItalyChain TypechainUPCDoes not apply
10K Gold Scrap Jewelry Lot, Some Broken & Some Wearable, 32.6 grams¬$1,325.00¬https://www.ebay.com/itm/356735782351¬Item specificsTypeSolid GoldCompositionGoldFineness10KBrand/MintMixed Lot
14K~10K VTG Amethyst~Sleeping Beauty Turquoise~Pearl Wear Scrap Jewelry Lot 1.4g¬$45.00¬https://www.ebay.com/itm/187111676295¬Item specificsConditionPre-owned: An item that has been used or worn previously. See the seller’s listing for full details ...Read moreabout the conditionPre-owned: An item that has been used or worn previously. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tabBrandUnbrandedTypeEarringsMetal Purity14 K and 10 KColorBlueThemeBeautyStyleDangle/DropMain Stone ColorTurquoiseMetalMulti-Tone GoldSecondary StonePearl, AmethystMain StoneSleeping Beauty, Turquoise, Amethyst, And PearlVintageYes
13K Yellow Gold Jewelry Scrap 2.1g¬$88.99¬https://www.ebay.com/itm/267195040390¬Item specificsConditionPre-ownedAn item that has been used or worn previously. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tabSeller Notes“Good”BrandUnbrandedMain StoneOtherMetalWhite Gold PlatedMetal Purity13KUPCDoes Not Apply
 5 Piece Lot Of 14K Solid Yellow Gold Jewelry 16.24 Grams Wear or Scrap ¬$1,149.00¬https://www.ebay.com/itm/286461922303¬Item specificsConditionPre-owned: An item that has been used or worn previously. See the seller’s listing for full details ...Read moreabout the conditionPre-owned: An item that has been used or worn previously. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tabBrandUnbrandedTypeMixed LotMetal Purity14kNumber of Pieces7ColorGoldBase MetalYellow GoldMetalYellow GoldCountry/Region of ManufactureUnited StatesLot IncludesNecklace, Pendant, Ring
14K Gold Scrap Jewelry Lot 14 Karat Gold 10.3 Grams + Stones for SCRAP or REPAIR¬$374.99¬https://www.ebay.com/itm/286413649262¬Item specificsSeller Notes“Pre-owned scrap gold lot - as found - please see all photos - please see all pictures and read ...Read moreabout the seller notes“Pre-owned scrap gold lot - as found - please see all photos - please see all pictures and read entire description below.  Thank you.”Read Lessabout the seller notesCompositionGoldTypeScrap Gold LotFineness14KBrand/MintMixed Lot
19.2 grams Interesting 10k 14K Gold CZ Earrings  Pendant Jewelry Lot  Not Scrap¬$424.99¬https://www.ebay.com/itm/226677298304¬Item specificsConditionPre-ownedAn item that has been used or worn previously. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tabSeller Notes“good condition”BrandUnbrandedTypeEarringsStyleStudMain Stone ColorWhite/ColorlessMetalYellow GoldMain StoneCubic Zirconia
